Timestamp,Authentication_Success,Device_ID,Device_Type,User_ID

2018-01-18 17:11:41.609967,SUCCESS,753939,Phone Call,260536

2018-01-18 17:12:15.609967,SUCCESS,478505,Phone Call,153574

2018-01-18 17:13:01.609967,SUCCESS,890527,Mobile App,355067

2018-01-18 17:13:46.609967,SUCCESS,993089,Mobile App,504365

2018-01-18 17:14:01.609967,SUCCESS,573725,Mobile App,817563

2018-01-18 17:14:49.609967,SUCCESS,583575,Mobile App,608148

2018-01-18 17:15:09.609967,FAIL,856299,Phone Call,254914

2018-01-18 17:16:03.609967,SUCCESS,828869,Phone Call,174524

2018-01-18 17:16:19.609967,SUCCESS,340082,Mobile App,991666

2018-01-18 17:17:02.609967,SUCCESS,818831,Mobile App,650731

2018-01-18 17:17:12.609967,FAIL,264240,Phone Call,914193

2018-01-18 17:18:04.609967,FAIL,512607,Mobile App,795972

2018-01-18 17:18:14.609967,SUCCESS,167283,Key Fob,729178

2018-01-18 17:18:48.609967,SUCCESS,457106,Text,427586

2018-01-18 17:19:35.609967,SUCCESS,126163,Text,487230

2018-01-18 17:19:56.609967,SUCCESS,183224,Mobile App,612882

2018-01-18 17:20:43.609967,SUCCESS,375622,Mobile App,339060

2018-01-18 17:21:33.609967,SUCCESS,362440,Mobile App,645231

2018-01-18 17:21:54.609967,SUCCESS,545835,Mobile App,934125

2018-01-18 17:22:03.609967,SUCCESS,256690,Mobile App,513709

2018-01-18 17:23:02.609967,SUCCESS,859320,Phone Call,691731

2018-01-18 17:23:26.609967,SUCCESS,276868,Phone Call,663028

2018-01-18 17:23:40.609967,FAIL,763021,Mobile App,327472

2018-01-18 17:24:35.609967,SUCCESS,445193,Key Fob,258774

2018-01-18 17:24:57.609967,SUCCESS,188525,Mobile App,361163

2018-01-18 17:25:51.609967,SUCCESS,890695,Mobile App,560625

2018-01-18 17:26:25.609967,SUCCESS,775425,Text,790621

2018-01-18 17:26:56.609967,FAIL,322824,Text,371505

2018-01-18 17:27:37.609967,SUCCESS,343698,Mobile App,570657

2018-01-18 17:27:44.609967,SUCCESS,509290,Text,154150

2018-01-18 17:27:54.609967,SUCCESS,598546,Phone Call,330980

2018-01-18 17:28:03.609967,SUCCESS,309222,Mobile App,356700

2018-01-18 17:28:17.609967,SUCCESS,145323,Mobile App,912824

2018-01-18 17:28:18.609967,SUCCESS,321703,Mobile App,319342

2018-01-18 17:28:33.609967,SUCCESS,136145,Mobile App,552358

2018-01-18 17:29:30.609967,SUCCESS,159728,Phone Call,879556

2018-01-18 17:29:36.609967,FAIL,638736,Phone Call,575925

2018-01-18 17:30:20.609967,FAIL,969719,Phone Call,588085

2018-01-18 17:30:35.609967,SUCCESS,145914,Phone Call,564924

2018-01-18 17:31:11.609967,SUCCESS,147489,Mobile App,712797

2018-01-18 17:32:01.609967,SUCCESS,885438,Mobile App,930293

2018-01-18 17:32:10.609967,SUCCESS,786903,Mobile App,101951

2018-01-18 17:32:51.609967,SUCCESS,518341,Mobile App,287268

2018-01-18 17:33:07.609967,SUCCESS,257129,Phone Call,153319

2018-01-18 17:33:42.609967,SUCCESS,761446,Mobile App,277351

2018-01-18 17:33:56.609967,SUCCESS,172402,Phone Call,877720

2018-01-18 17:34:26.609967,SUCCESS,829536,Mobile App,882132

2018-01-18 17:35:02.609967,SUCCESS,530712,Mobile App,168717

2018-01-18 17:35:23.609967,SUCCESS,880848,Mobile App,440494

2018-01-18 17:35:31.609967,SUCCESS,955486,Key Fob,734667

2018-01-18 17:35:33.609967,SUCCESS,176558,Mobile App,434667

2018-01-18 17:36:28.609967,SUCCESS,704694,Mobile App,789911

2018-01-18 17:37:04.609967,SUCCESS,112725,Mobile App,801347

2018-01-18 17:37:41.609967,SUCCESS,385869,Mobile App,453546

2018-01-18 17:38:13.609967,SUCCESS,571057,Phone Call,417906

2018-01-18 17:39:04.609967,SUCCESS,621788,Mobile App,141357

2018-01-18 17:39:17.609967,SUCCESS,203520,Phone Call,289456

2018-01-18 17:39:41.609967,SUCCESS,771266,Key Fob,957166

2018-01-18 17:40:30.609967,SUCCESS,941389,Mobile App,711346

2018-01-18 17:40:36.609967,SUCCESS,221003,Mobile App,479366

2018-01-18 17:40:46.609967,FAIL,503954,Text,799189

2018-01-18 17:41:40.609967,SUCCESS,227389,Mobile App,916459

2018-01-18 17:42:12.609967,FAIL,478995,Key Fob,827817

2018-01-18 17:42:37.609967,SUCCESS,377320,Mobile App,238427

2018-01-18 17:43:31.609967,SUCCESS,662682,Text,115787

2018-01-18 17:44:17.609967,SUCCESS,231995,Phone Call,175793

2018-01-18 17:44:56.609967,SUCCESS,696235,Phone Call,484826

2018-01-18 17:45:55.609967,SUCCESS,799005,Mobile App,560184

2018-01-18 17:45:59.609967,SUCCESS,704694,Mobile App,789911

2018-01-18 17:46:18.609967,SUCCESS,605006,Mobile App,119090

2018-01-18 17:47:11.609967,SUCCESS,845661,Mobile App,328071

2018-01-18 17:47:32.609967,SUCCESS,671879,Mobile App,931980

2018-01-18 17:48:09.609967,SUCCESS,998419,Phone Call,621458

2018-01-18 17:48:46.609967,SUCCESS,928816,Mobile App,502030

2018-01-18 17:49:28.609967,FAIL,937597,Phone Call,123590

2018-01-18 17:50:15.609967,SUCCESS,435937,Phone Call,932384

2018-01-18 17:51:07.609967,SUCCESS,606653,Mobile App,755102

2018-01-18 17:51:19.609967,SUCCESS,526534,Key Fob,902442

2018-01-18 17:51:29.609967,SUCCESS,500663,Phone Call,869531

2018-01-18 17:51:34.609967,SUCCESS,509062,Phone Call,568911

2018-01-18 17:51:48.609967,SUCCESS,199157,Phone Call,560184

2018-01-18 17:52:13.609967,FAIL,797543,Mobile App,947118

2018-01-18 17:52:29.609967,SUCCESS,899923,Mobile App,647608

2018-01-18 17:52:56.609967,SUCCESS,188212,Mobile App,436366

2018-01-18 17:53:31.609967,SUCCESS,889980,Phone Call,595081

2018-01-18 17:54:13.609967,SUCCESS,244213,Phone Call,642928

2018-01-18 17:54:14.609967,SUCCESS,122922,Phone Call,417631

2018-01-18 17:54:29.609967,SUCCESS,844609,Mobile App,438028

2018-01-18 17:55:29.609967,SUCCESS,175999,Mobile App,734338

2018-01-18 17:56:25.609967,FAIL,108313,Text,664731

2018-01-18 17:57:13.609967,SUCCESS,357026,Mobile App,331475

2018-01-18 17:57:44.609967,SUCCESS,353886,Mobile App,304812

2018-01-18 17:58:04.609967,SUCCESS,916266,Mobile App,568911

2018-01-18 17:58:37.609967,SUCCESS,748404,Text,257159

2018-01-18 17:59:31.609967,SUCCESS,448809,Key Fob,480498

2018-01-18 18:00:13.609967,SUCCESS,244481,Text,809047

2018-01-18 18:01:01.609967,SUCCESS,473968,Mobile App,665183

2018-01-18 18:01:44.609967,FAIL,329640,Mobile App,962776

