Timestamp,Authentication Success,Device ID,Device Type,User ID
2018-01-16 17:17:21.720271,FAIL,666301,Mobile App,788464
2018-01-16 17:17:26.720271,FAIL,726136,Mobile App,355302
2018-01-16 17:18:06.720271,FAIL,268051,Key Fob,583647
2018-01-16 17:19:01.720271,SUCCESS,168394,Mobile App,638730
2018-01-16 17:19:13.720271,FAIL,328895,Phone Call,709608
2018-01-16 17:20:09.720271,FAIL,799116,Phone Call,492499
2018-01-16 17:20:12.720271,FAIL,907841,Mobile App,436144
2018-01-16 17:20:22.720271,FAIL,320229,Text,212699
2018-01-16 17:20:47.720271,FAIL,384036,Text,221357
2018-01-16 17:21:19.720271,SUCCESS,229706,Mobile App,363527
2018-01-16 17:21:34.720271,FAIL,457490,Mobile App,165397
2018-01-16 17:22:14.720271,FAIL,185274,Phone Call,390512
2018-01-16 17:22:54.720271,SUCCESS,278697,Text,313121
2018-01-16 17:23:17.720271,FAIL,276965,Phone Call,751028
2018-01-16 17:23:54.720271,FAIL,783623,Mobile App,485717
2018-01-16 17:24:20.720271,SUCCESS,345302,Text,309067
2018-01-16 17:25:06.720271,SUCCESS,394805,Phone Call,368763
2018-01-16 17:25:49.720271,SUCCESS,444267,Mobile App,875872
2018-01-16 17:26:46.720271,FAIL,107231,Phone Call,940889
2018-01-16 17:27:21.720271,FAIL,205760,Phone Call,799342
2018-01-16 17:28:02.720271,SUCCESS,403404,Text,387559
2018-01-16 17:28:48.720271,FAIL,164626,Mobile App,923713
2018-01-16 17:29:37.720271,SUCCESS,943187,Key Fob,354631
2018-01-16 17:30:11.720271,FAIL,760755,Text,736289
2018-01-16 17:30:42.720271,SUCCESS,836285,Phone Call,156841
2018-01-16 17:31:39.720271,FAIL,919828,Key Fob,479568
2018-01-16 17:32:32.720271,FAIL,723520,Mobile App,834888
2018-01-16 17:32:36.720271,SUCCESS,775959,Text,823130
2018-01-16 17:33:34.720271,FAIL,657195,Text,953271
2018-01-16 17:33:58.720271,FAIL,981010,Phone Call,475043
2018-01-16 17:34:21.720271,FAIL,916351,Phone Call,621527
2018-01-16 17:35:04.720271,FAIL,402630,Phone Call,532264
2018-01-16 17:35:07.720271,FAIL,939413,Mobile App,477034
2018-01-16 17:35:53.720271,FAIL,208905,Mobile App,440047
2018-01-16 17:36:22.720271,SUCCESS,469078,Phone Call,225989
2018-01-16 17:36:50.720271,SUCCESS,524887,Phone Call,265590
2018-01-16 17:37:22.720271,SUCCESS,141445,Phone Call,316441
2018-01-16 17:37:30.720271,SUCCESS,656308,Phone Call,205630
2018-01-16 17:37:58.720271,FAIL,865228,Mobile App,885036
2018-01-16 17:38:51.720271,SUCCESS,939413,Mobile App,477034
2018-01-16 17:39:32.720271,SUCCESS,389940,Mobile App,800832
2018-01-16 17:39:41.720271,SUCCESS,419969,Mobile App,619968
2018-01-16 17:40:37.720271,FAIL,391439,Phone Call,536195
2018-01-16 17:40:46.720271,FAIL,567731,Phone Call,809235
2018-01-16 17:41:11.720271,SUCCESS,114666,Mobile App,545202
2018-01-16 17:41:25.720271,FAIL,704688,Mobile App,305259
2018-01-16 17:41:46.720271,FAIL,515999,Mobile App,324443
2018-01-16 17:42:18.720271,SUCCESS,590962,Mobile App,605917
2018-01-16 17:42:40.720271,FAIL,165421,Mobile App,606205
2018-01-16 17:42:44.720271,FAIL,244939,Phone Call,367134
2018-01-16 17:43:20.720271,SUCCESS,974888,Text,279806
2018-01-16 17:43:42.720271,SUCCESS,495002,Text,492499
2018-01-16 17:44:40.720271,FAIL,360361,Text,723327
2018-01-16 17:45:13.720271,FAIL,206308,Phone Call,386410
2018-01-16 17:45:29.720271,FAIL,367256,Mobile App,649201
2018-01-16 17:45:51.720271,SUCCESS,333099,Mobile App,621773
2018-01-16 17:46:12.720271,SUCCESS,399211,Text,223094
2018-01-16 17:46:44.720271,FAIL,291376,Key Fob,375311
2018-01-16 17:47:13.720271,FAIL,105397,Mobile App,859930
2018-01-16 17:47:15.720271,FAIL,787106,Phone Call,611973
2018-01-16 17:47:56.720271,FAIL,340440,Text,934180
2018-01-16 17:47:57.720271,FAIL,355335,Text,652894
2018-01-16 17:48:27.720271,FAIL,801681,Mobile App,527181
2018-01-16 17:49:11.720271,FAIL,240001,Text,796417
2018-01-16 17:50:11.720271,FAIL,944611,Text,428617
2018-01-16 17:50:39.720271,FAIL,739645,Mobile App,483543
2018-01-16 17:51:25.720271,FAIL,281998,Key Fob,317865
2018-01-16 17:51:30.720271,SUCCESS,964245,Text,265480
2018-01-16 17:52:02.720271,SUCCESS,946277,Mobile App,348897
2018-01-16 17:52:54.720271,FAIL,463682,Phone Call,539824
2018-01-16 17:53:00.720271,SUCCESS,839862,Mobile App,483851
