Timestamp,Authentication Success,Device ID,Device Type,User ID
2018-01-17 16:54:47.368940,SUCCESS,271584,Text,997668
2018-01-17 16:55:29.368940,SUCCESS,145101,Mobile App,720718
2018-01-17 16:56:20.368940,SUCCESS,115972,Phone Call,696366
2018-01-17 16:57:00.368940,FAIL,346452,Phone Call,300954
2018-01-17 16:57:27.368940,FAIL,987050,Phone Call,214925
2018-01-17 16:58:08.368940,SUCCESS,110044,Text,894255
2018-01-17 16:58:18.368940,FAIL,714965,Phone Call,376804
2018-01-17 16:59:14.368940,FAIL,717606,Mobile App,820668
2018-01-17 16:59:26.368940,SUCCESS,778176,Phone Call,759263
2018-01-17 16:59:39.368940,FAIL,315075,Mobile App,623027
2018-01-17 17:00:35.368940,FAIL,283877,Mobile App,743717
2018-01-17 17:01:35.368940,FAIL,584924,Text,136945
2018-01-17 17:01:44.368940,FAIL,343283,Mobile App,592712
2018-01-17 17:02:42.368940,SUCCESS,710632,Text,620703
2018-01-17 17:03:30.368940,FAIL,509768,Mobile App,388550
2018-01-17 17:04:00.368940,SUCCESS,502447,Key Fob,639655
2018-01-17 17:04:56.368940,FAIL,390070,Text,259413
2018-01-17 17:05:36.368940,FAIL,806446,Mobile App,127130
2018-01-17 17:06:13.368940,SUCCESS,320890,Phone Call,393594
2018-01-17 17:07:11.368940,FAIL,249340,Text,618223
2018-01-17 17:08:02.368940,SUCCESS,916465,Phone Call,383301
2018-01-17 17:08:38.368940,SUCCESS,631245,Text,416754
2018-01-17 17:09:18.368940,FAIL,488293,Phone Call,188584
2018-01-17 17:09:20.368940,SUCCESS,616914,Mobile App,107669
2018-01-17 17:09:25.368940,FAIL,616914,Mobile App,107669
2018-01-17 17:09:48.368940,SUCCESS,528186,Phone Call,269145
2018-01-17 17:10:28.368940,SUCCESS,507936,Mobile App,943681
2018-01-17 17:10:33.368940,SUCCESS,151608,Text,672990
2018-01-17 17:11:03.368940,FAIL,650084,Phone Call,507542
2018-01-17 17:12:00.368940,FAIL,689094,Mobile App,841057
2018-01-17 17:12:44.368940,FAIL,664659,Mobile App,586039
2018-01-17 17:12:57.368940,FAIL,764672,Mobile App,294407
2018-01-17 17:13:25.368940,FAIL,134021,Mobile App,333529
2018-01-17 17:14:22.368940,SUCCESS,898405,Mobile App,590945
2018-01-17 17:14:43.368940,SUCCESS,693606,Phone Call,423879
2018-01-17 17:15:04.368940,SUCCESS,716137,Mobile App,992186
2018-01-17 17:15:07.368940,FAIL,592248,Text,429400
2018-01-17 17:15:51.368940,SUCCESS,748933,Mobile App,380695
2018-01-17 17:16:47.368940,FAIL,650181,Mobile App,454885
2018-01-17 17:17:33.368940,FAIL,738629,Mobile App,420513
2018-01-17 17:17:54.368940,FAIL,438566,Mobile App,625190
2018-01-17 17:18:33.368940,SUCCESS,701447,Mobile App,721139
2018-01-17 17:19:25.368940,SUCCESS,990636,Phone Call,485490
2018-01-17 17:20:15.368940,SUCCESS,527651,Text,411390
2018-01-17 17:20:36.368940,FAIL,313265,Phone Call,907063
2018-01-17 17:21:01.368940,SUCCESS,462721,Mobile App,267078
2018-01-17 17:22:01.368940,SUCCESS,276449,Phone Call,762470
2018-01-17 17:22:46.368940,SUCCESS,669521,Mobile App,859998
2018-01-17 17:23:10.368940,FAIL,878166,Phone Call,302473
2018-01-17 17:23:57.368940,SUCCESS,128475,Text,374481
2018-01-17 17:24:57.368940,FAIL,377947,Phone Call,295540
2018-01-17 17:25:25.368940,SUCCESS,797495,Mobile App,795836
2018-01-17 17:26:11.368940,FAIL,440119,Phone Call,201535
2018-01-17 17:26:23.368940,FAIL,174902,Mobile App,446952
2018-01-17 17:27:13.368940,SUCCESS,691364,Mobile App,150471
2018-01-17 17:27:37.368940,FAIL,765927,Mobile App,518217
2018-01-17 17:28:32.368940,FAIL,639907,Mobile App,315156
2018-01-17 17:29:28.368940,FAIL,372110,Mobile App,485490
2018-01-17 17:30:10.368940,SUCCESS,693408,Mobile App,234867
2018-01-17 17:30:13.368940,SUCCESS,116154,Mobile App,175517
2018-01-17 17:30:36.368940,FAIL,374890,Mobile App,849122
2018-01-17 17:31:15.368940,FAIL,854887,Phone Call,150471
2018-01-17 17:31:25.368940,FAIL,203323,Mobile App,331176
2018-01-17 17:32:24.368940,SUCCESS,490642,Mobile App,466050
2018-01-17 17:32:56.368940,SUCCESS,439035,Text,954377
2018-01-17 17:33:08.368940,FAIL,701447,Mobile App,721139
2018-01-17 17:33:55.368940,SUCCESS,318675,Mobile App,166090
2018-01-17 17:34:01.368940,SUCCESS,199331,Text,422934
2018-01-17 17:34:14.368940,SUCCESS,222098,Mobile App,173278
2018-01-17 17:34:15.368940,FAIL,223033,Phone Call,275848
2018-01-17 17:35:00.368940,SUCCESS,251472,Mobile App,383622
2018-01-17 17:35:25.368940,FAIL,182131,Mobile App,698052
2018-01-17 17:35:43.368940,FAIL,625376,Phone Call,553500
2018-01-17 17:36:02.368940,FAIL,496193,Mobile App,693190
